province_code,region,Province,PCs Planned (5373 IEC List of Aug 19),PS Planned (5373 IEC List of Aug 19),PCs Planned (4928 MOI List of Sept 28),MOI Percent of IEC Planned,PS Planned (4938 MOI List of Sept 28),Partial PC Reporting (09-28-19),Partial PC Reporting (09-29-19),Partial PC Reporting (10-01-19),Partial PC Reporting (10-03-19), % PCs Preliminary Reporting based on IEC 5373 List (09-28-19),% PCs Preliminary Reporting based on IEC 5373 List (09-29-19),PC Open Rate Against IEC 5373 List (10-01-19),PC Open Rate Against IEC 5373 List (10-03-19),PC Open Rate Against 4928 MOI List (10-01-19),PC Open Rate Against 4928 MOI List (10-03-19),% of PCs Potentially Remaining Based on 4928 MOI List as of 10-01-19,PS Reporting (09-29-19),% PS Partial Reporting Based on IEC 5373 List (09-29-19),PS Reporting (10-03-19),% PS Reporting Against IEC 5373 List (10-03-19),Partial BVV PS Reporting (10-14-19),Partial BVV PS Reporting Against PS Opened,Potential BVV PS Remaining,,Partial Votes Reported (09-28-19),Partial Votes Reported (09-29-19),Total Votes Reported (10-01-19),Total Votes Reported (10-03-19),Partial BVV Votes Reported (10-14-19),Straight Line Projection of BVV Votes 10-14-19,Net PC Partial Reporting Change 28-29,Net Partial Vote Change 28-29,Net PC Partial Reporting Change 29-01,Net Partial Vote Change 29-01,Net Change Provisional and Projected BVV Votes as of 10-14-19,Pct Change Provisional and Projected BVV Votes as of 10-14-19,Net PC Partial Reporting Change 10-01 to 10-03,Net Partial Vote Change 10-01 to 10-03,Average Votes / Center (09-28-19),Average Votes / Center (09-29-19),Average Votes / Center (10-01-19),Average Votes / Center (10-03-19),Projection of Total Votes if All Centers Opened Assuming Uniform Distribution as of 10-01-19,,Total VR 2019,Turnout as of 10-03-19,Projected BVV Turnout as of 10-14-19,Total Preliminary Votes 2018,Pct Change 18-19 Votes as of 10-03-19,Total VR 2018,Pct Change 18-19 VR,Turnout 2018,Pct Change Turnout 18-19 as of 10-03-19,Total Preliminary Votes First Round 2014,Pct Change Votes 14-19 as of 10-03-19
17,Northeast,Badakhshan,276,1093,260,0.942028986,UNKNOWN (No detailed PC data for MOI Plan),17,17,236,236,0.061594203,0.061594203,0.855072464,0.855072464,0.907692308,0.907692308,0.092307692,NA,NA,967,0.884720952,894,0.92450879,0.07549121,,6028,6028,68038,68038,66979,72448.20246,0,0,219,62010,4410.202461,0.064819696,0,0,354.5882353,354.5882353,288.2966102,288.2966102,74957.11864,,325327,0.209137268,0.222693482,158976,-0.57202345,295737,0.100055117,0.537558709,-0.610949903,292029,-0.767016289
31,West,Badghis,76,335,45,0.592105263,UNKNOWN (No detailed PC data for MOI Plan),0,27,76,39,0,0.355263158,1,0.513157895,1.688888889,0.866666667,-0.688888889,117,0.349253731,165,0.492537313,161,0.975757576,0.024242424,,NA,6889,9961,9961,9438,9672.484472,27,NA,49,3072,-288.515528,-0.028964514,-37,0,NA,255.1481481,131.0657895,255.4102564,5897.960526,,101371,0.098262817,0.095416682,44889,-0.778097084,86175,0.176338845,0.520905135,-0.811361397,121727,-0.918169346
9,Northeast,Baghlan,216,1295,205,0.949074074,UNKNOWN (No detailed PC data for MOI Plan),86,104,146,173,0.398148148,0.481481481,0.675925926,0.800925926,0.712195122,0.843902439,0.287804878,589,0.454826255,1023,0.78996139,596,0.582600196,0.417399804,,13695,44777,155772,187340,28634,49148.62752,18,31082,42,110995,-138191.3725,-0.737650115,27,31568,159.244186,430.5480769,1066.931507,1082.890173,218720.9589,,437008,0.428687804,0.112466196,124609,0.503422706,408904,0.068730069,0.30473901,0.406737539,251304,-0.25452838
21,North,Balkh,282,1467,151,0.535460993,UNKNOWN (No detailed PC data for MOI Plan),100,155,158,156,0.354609929,0.54964539,0.560283688,0.553191489,1.046357616,1.033112583,-0.046357616,972,0.662576687,980,0.668029993,936,0.955102041,0.044897959,,53334,74441,74441,74701,71198,74544.91453,55,21107,3,0,-156.0854701,-0.00208947,-2,260,533.34,480.2645161,471.1455696,478.8525641,71142.98101,,471967,0.158275896,0.157945184,209009,-0.642594338,442384,0.066871768,0.472460577,-0.664996607,395520,-0.81113218
10,Central,Bamyan,220,649,220,1,UNKNOWN (No detailed PC data for MOI Plan),202,218,219,219,0.918181818,0.990909091,0.995454545,0.995454545,0.995454545,0.995454545,0.004545455,644,0.99229584,647,0.996918336,622,0.961360124,0.038639876,,70939,84124,84124,84124,81502,84777.80386,16,13185,1,0,653.8038585,0.007771906,0,0,351.1831683,385.8899083,384.1278539,384.1278539,84508.12785,,171475,0.490590465,0.494403288,125564,-0.330030901,167239,0.02532902,0.750805733,-0.346581355,166769,-0.495565723
24,Central,Daykundi,252,658,252,1,UNKNOWN (No detailed PC data for MOI Plan),246,243,252,252,0.976190476,0.964285714,1,1,1,1,0,637,0.968085106,658,1,615,0.934650456,0.065349544,,69870,114310,117506,117506,93692,100242.8228,-3,44440,9,3196,-17263.17724,-0.146913155,0,0,284.0243902,470.4115226,466.2936508,466.2936508,117506,,179851,0.653351941,0.557365946,134695,-0.12761424,167337,0.074783222,0.804932561,-0.188314683,171397,-0.314422073
33,West,Farah,50,226,43,0.86,UNKNOWN (No detailed PC data for MOI Plan),0,0,50,50,0,0,1,1,1.162790698,1.162790698,-0.162790698,0,0,226,1,192,0.849557522,0.150442478,,NA,NA,22975,22975,11244,13235.125,0,NA,50,NA,-9739.875,-0.423933624,0,0,NA,NA,459.5,459.5,19758.5,,68638,0.334727119,0.192825039,25966,-0.115189093,62598,0.096488706,0.414805585,-0.193050597,83649,-0.725340411
29,North,Faryab,109,655,65,0.596330275,UNKNOWN (No detailed PC data for MOI Plan),30,60,59,58,0.275229358,0.550458716,0.541284404,0.532110092,0.907692308,0.892307692,0.092307692,395,0.603053435,382,0.583206107,327,0.856020942,0.143979058,,8771,31674,43464,43464,25593,29897.63303,30,22903,-1,11790,-13566.36697,-0.312128819,-1,0,292.3666667,527.9,736.6779661,749.3793103,47884.0678,,220210,0.197375233,0.135768735,70419,-0.382780216,189467,0.162260446,0.371668945,-0.468948818,266195,-0.836721201
11,Southeast,Ghazni,233,828,233,1,UNKNOWN (No detailed PC data for MOI Plan),0,101,232,231,0,0.433476395,0.995708155,0.991416309,0.995708155,0.991416309,0.004291845,326,0.393719807,825,0.996376812,520,0.63030303,0.36969697,,NA,22568,39740,72705,42125,66832.93269,101,NA,131,17172,-5872.067308,-0.08076566,-1,32965,NA,223.4455446,171.2931034,314.7402597,39911.2931,,235213,0.309102813,0.28413792,NA,NA,NA,NA,NA,NA,360606,-0.798381059
23,West,Ghor,181,798,126,0.696132597,UNKNOWN (No detailed PC data for MOI Plan),35,74,109,108,0.193370166,0.408839779,0.602209945,0.596685083,0.865079365,0.857142857,0.134920635,301,0.377192982,480,0.601503759,447,0.93125,0.06875,,15054,35371,60483,71603,51879,55708.99329,39,20317,35,25112,-15894.00671,-0.221974033,-1,11120,430.1142857,477.9864865,554.8899083,662.9907407,69916.12844,,250233,0.286145313,0.222628483,108712,-0.341351461,238466,0.049344561,0.455880503,-0.372323864,292361,-0.755087033
