"province_code","province_name_eng","pc_code","ps_code","ps_type","commission","audit_reason","commission_decision","bvv_total","audit_or_recount"
"01","KABUL","0101001","0101001-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",110,"YES"
"01","KABUL","0101004","0101004-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",73,"YES"
"01","KABUL","0101005","0101005-02","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",81,"YES"
"01","KABUL","0101005","0101005-03","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",9,"YES"
"01","KABUL","0101015","0101015-04","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",66,"YES"
"01","KABUL","0101018","0101018-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",89,"YES"
"01","KABUL","0101023","0101023-05","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",133,"YES"
"01","KABUL","0101030","0101030-08","F","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101031","0101031-03","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",103,"YES"
"01","KABUL","0101035","0101035-04","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",84,"YES"
"01","KABUL","0101041","0101041-01","M","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101045","0101045-01","M","As per the decision of the IEC","Referred by National Tally Center team for recount","Decision 104 Annex 8",109,"YES"
"01","KABUL","0101045","0101045-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",105,"YES"
"01","KABUL","0101045","0101045-04","F","As per the decision of the IEC","Referred by National Tally Center team for recount","Decision 104 Annex 8",56,"YES"
"01","KABUL","0101046","0101046-01","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",83,"YES"
"01","KABUL","0101046","0101046-02","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",66,"YES"
"01","KABUL","0101046","0101046-03","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",71,"YES"
"01","KABUL","0101046","0101046-04","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",94,"YES"
"01","KABUL","0101046","0101046-05","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",102,"YES"
"01","KABUL","0101046","0101046-06","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",90,"YES"
"01","KABUL","0101046","0101046-07","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",92,"YES"
"01","KABUL","0101046","0101046-08","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",66,"YES"
"01","KABUL","0101046","0101046-09","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",74,"YES"
"01","KABUL","0101046","0101046-10","F","As per the decision of the IEC","Reported open by IEC staff but no results form or BVV data","Decision 105 Paragraph 2",NA,"YES"
"01","KABUL","0101046","0101046-11","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",52,"YES"
"01","KABUL","0101046","0101046-12","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",42,"YES"
"01","KABUL","0101046","0101046-13","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",39,"YES"
"01","KABUL","0101046","0101046-14","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",41,"YES"
"01","KABUL","0101047","0101047-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",58,"YES"
"01","KABUL","0101047","0101047-14","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",25,"YES"
"01","KABUL","0101048","0101048-03","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",87,"YES"
"01","KABUL","0101048","0101048-05","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",69,"YES"
"01","KABUL","0101049","0101049-01","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",99,"YES"
"01","KABUL","0101049","0101049-02","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",127,"YES"
"01","KABUL","0101049","0101049-03","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",7,"YES"
"01","KABUL","0101049","0101049-05","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",132,"YES"
"01","KABUL","0101049","0101049-06","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",87,"YES"
"01","KABUL","0101049","0101049-07","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",68,"YES"
"01","KABUL","0101049","0101049-09","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",45,"YES"
"01","KABUL","0101056","0101056-06","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",66,"YES"
"01","KABUL","0101057","0101057-05","M","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
"01","KABUL","0101057","0101057-09","F","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",44,"YES"
"01","KABUL","0101059","0101059-02","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",174,"YES"
"01","KABUL","0101059","0101059-03","M","As per the decision of the IEC","Digital results forms show zero votes but physical results and BVV data have vote information, with discrepancy of more than 5 votes between results and BVV data","Decision 104 Annex 4-ii",109,"YES"
"01","KABUL","0101059","0101059-04","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",125,"YES"
"01","KABUL","0101059","0101059-07","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",113,"YES"
"01","KABUL","0101059","0101059-08","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",134,"YES"
"01","KABUL","0101059","0101059-11","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",135,"YES"
"01","KABUL","0101059","0101059-12","M","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",85,"YES"
"01","KABUL","0101059","0101059-13","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",71,"YES"
"01","KABUL","0101059","0101059-14","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",133,"YES"
"01","KABUL","0101059","0101059-15","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",128,"YES"
"01","KABUL","0101059","0101059-17","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",117,"YES"
"01","KABUL","0101059","0101059-18","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",122,"YES"
"01","KABUL","0101059","0101059-19","F","As per the decision of the IEC","Digital results forms received but physical forms not received by National Tally Center","Decision 104 Annex 2",105,"YES"
"01","KABUL","0101061","0101061-01","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",127,"YES"
"01","KABUL","0101061","0101061-08","M","As per the decision of the IEC","Reported open by IEC staff but no results form or BVV data","Decision 105 Paragraph 2",NA,"YES"
"01","KABUL","0101062","0101062-10","M","As per the decision of the IEC","Discrepancy of more than 5 votes between results form and BVV data","Decision 104 Annex 1",122,"YES"
"01","KABUL","0101062","0101062-13","F","As per the decision of the IEC","National Tally Center received physical results form but no BVV data","Decision 105 Paragraph 1",NA,"YES"
