"pc_code_14","pc_name_eng_14","pc_code_18","pc_name_eng_18","lat_14","lon_14","coord_14_18_discrepancy_in_meters","matched_by"
"1107228","Bakhshi Village School","1107137"," Bakhshi village Mosque",33.3810754900001,68.44046924,0,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1214303","Makhfirollah Guest House","1214189"," Village Mosque, Zangi Adah",32.79124568,69.31605548,0,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1401026","Mosque and Senator Hojra","1401014"," Tour Ghundai School",33.300170702,69.8935540040001,0,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"2711205","Doctar Mohammad Dawood Private House","2711162"," Malik Kabir School",30.9660853200001,66.4339183100001,0,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1211166","Malik Moyen Guest House","1211140"," Meera Gul Mosque",32.99604177,69.18645279,1.20764981564536,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1301008","Robaat Girls School","1301006"," Rubat Boys School",33.6302886600001,69.17345242,1.93766077279603,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"2601008","Spina Ghbarga Madrassa","2601015"," Speenah Ghbargah School",32.1925943900001,67.0180208500001,2.33805723522424,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1208135","Amir Madar Guest House","1208090"," Sayed Ahmad Madrassah",32.74250146,68.94002266,2.74148418284141,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1113373","Jaj Mohammad House","1113281"," Asadullah Mosque",32.91437548,67.90930617,2.80602534301101,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1505039","Girls School","1505043","Sarkano Central High School",34.7880480400001,71.1078592700001,4.91741307973074,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"3207193","Tamer Hamam Chel Dukhtar Awal","3207215","Khwajah Jeer School",35.1201583300001,62.30364166,5.5420170176836,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"3403030","Khwaja Surjo House","3403028","Khwajah Sar Jo village Mosque",31.33500508,62.3250490400001,5.68563697555493,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1412159","Open Space","1412177"," Bargi village High School",33.30231401,69.5571435000001,6.0140319022047,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"3212372","Jenowa Jaded Girls School","3212351","Janwa Boys School",34.3837421700001,63.42060021,7.95870276841523,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1005165","Munbar-e-Shahrestan","1005104"," Sar TarNook School",34.7286890300001,66.74436064,9.4174254505568,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"0306068","Roye Aab Madrassa","0306104","Eng. Mohammad Gul Shaheed Secondary School",35.092665943,69.1508161530001,9.45061922181393,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1111133","Abdullah Khaliq Mosque","1111225"," Qarabagh District Center Clinic",33.19190769,68.10392751,9.51650419676155,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"0308146","Momin Khel School","0308135","Angor Darah School",34.77938428,69.4483035800001,10.668859530611,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"0804012","Shaba Mosque","0804035","Shabah Boys High School",35.3852518400001,69.64997991,10.6876124758899,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"0101093","Mohammad Qayam Khan Primary School","0101074","Wardaki ha Mosque",34.5145224300001,69.1075899800001,10.8230655003893,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"3305251","Feraib Primary School","3305094","Girls Secondary School",32.132917547,61.4838508180001,11.2507108543536,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"2701037","Old Education Department","2701004"," Aino Secondary School",31.6233980000001,65.696603,11.7873673036613,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"2006052","Ali Khel Primary School","2006089"," Zagh Payan Madrassah",35.99727134,67.15379028,12.2993060310875,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"0101114","Abu Zar Ghafari Mosque","0101104","Jamia Al Islam Madrassah",34.5043629700001,69.1176088600001,12.3987478832527,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1007122","Jawqol Mosque","1007166"," Joqul Boys High School",34.2145957300001,67.1421123000001,12.5254935500389,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"0908184","Shahshan Big Clinic","0908191","Shahshan High School",35.7802807100001,69.3310855800001,12.6849115527395,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"0615384","Bandar Khola Haji Younus Hujra","0615329"," Bandar Kholah Jame Mosque",34.07194444,70.7652349300001,12.8599267048987,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"0205064","Mohammad Ayoub Secondary School (Kuchi)","0205069","Mohammad Ayub Shaheed Secondary School",34.9966139,69.6835601800001,13.2665858663374,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"2108235","Qadeem Private House","2108156","Saloon Ijtemaee (Community Hall)",36.54928886,66.7241852900001,13.3123762337812,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"2908130","Sarchakan Mosque","2908168","Sarchakan Boys High School",35.71294251,65.2225409500001,13.6747468632947,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"0201017","Raees Dada House","0201002","Zara'at Jame Mosque",35.0155288300001,69.3814070600001,13.8743418443656,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1201012","Malik Ahmad Jan Guest House","1201012"," Badria School",33.19310768,68.7943246000001,14.0080185102774,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1208130","Saroki Guest House","1208082"," Nematabad Clinic",32.3087550500001,69.00023064,14.7382855698056,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"2111206","Jame Mosque","2111241"," Shiekh Tash Taimoor School",36.84249054,66.743505,14.9115705528637,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"2407147","Surkh Joy Mosque","2407191"," Surkh Joi Rubat Girls School",33.8877444,66.8711677000001,14.9541823423272,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1401002","Sharbat Khan Hojra","1401016"," Da Shamal Zorr Kali (Noorzai) Mosque",33.3200017800001,69.98251682,14.9955108455053,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"2603053","Zyarat Madrassa","2603031"," Kochnai Khor Mosque",32.0268826850001,67.111875599,15.3458364079795,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1301013","Kajeer Tent","1301011"," Dadgul Mosque",33.5343038400001,69.26984564,15.6532665186412,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
"1410105","Haji Gulstan House","1410161"," Muslim Abad Mosque",33.5367683400001,69.6320205000001,15.8764536587102,"NEAREST REPLACEMENT CENTER BY PROXIMITY"
